Rk,Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Sref_Cbb_ID
105801,Michael Johnette,JR,1996-97,G,Nebraska,Big 12,3,,0,1,0,0,0,1,0,0,,,0,0,0,0,,,0,michael-johnette-1
105802,Antoine Johnson,FR,1997-98,G,East Carolina,CAA,1,,0,0,0,0,0,0,0,2,,,0,0,0,0,,,0,antoine-johnson-2
105803,B.J. Johnson,JR,1999-00,G,Villanova,Big East,6,,0,4,0,3,0,1,0,0,,,3,0,1,1,,,0,bj-johnson-1
105804,Branden Johnson,FR,2015-16,C,Alabama State,SWAC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,branden-johnson-2
105805,Branden Johnson,FR,2016-17,C,Alabama State,SWAC,5,8,0,3,0,2,0,1,0,0,1,0,1,0,0,0,1,2,0,branden-johnson-2
105806,Brandon Johnson,SR,2003-04,F,Western Michigan,MAC,1,,0,0,0,0,0,0,0,0,,,1,0,0,0,,,0,brandon-johnson-4
105807,Cameron Johnson,SO,2013-14,G,Tennessee State,OVC,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,cameron-johnson-2
105808,Cedric Johnson,SR,2002-03,F,Louisiana-Monroe,Southland,1,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,cedric-johnson-1
105809,Chad Johnson,FR,2011-12,G,Lipscomb,A-Sun,7,12,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,chad-johnson-4
105810,Christano Johnson,SO,2004-05,F,Manhattan,MAAC,4,,0,1,0,1,0,0,0,4,,,2,0,1,0,,,0,christano-johnson-1
105811,Cureton Johnson,FR,1996-97,G,Wake Forest,ACC,4,,0,3,0,3,0,0,0,0,,,1,0,0,0,,,0,cureton-johnson-1
105812,Darien Johnson,FR,2010-11,G,Alcorn State,SWAC,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,darien-johnson-2
105813,Darien Johnson,SO,2011-12,G,Alcorn State,SWAC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,darien-johnson-2
105814,David Johnson,SO,2007-08,G,Canisius,MAAC,5,,0,2,0,0,0,2,0,2,,,1,1,0,1,1,,0,david-johnson-3
105815,David E. Johnson,JR,2005-06,F,Hampton,MEAC,1,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,david-e-johnson-1
105816,Jackson Johnson,SO,2016-17,G,Tulane,AAC,3,4,0,1,0,1,0,0,0,1,0,2,2,0,0,0,0,1,0,johnson-jackson-1
105817,Jake Johnson,JR,2014-15,F,Pepperdine,WCC,10,43,0,1,0,1,0,0,0,1,1,5,6,2,0,2,1,9,0,jake-johnson-1
105818,Jamal Johnson,SO,1995-96,F,UC-Santa Barbara,Big West,,,,,,,,,,,,,0,0,0,0,,,0,jamal-johnson-2
105819,Jeff Johnson,FR,2001-02,G,Oklahoma State,Big 12,4,,0,0,0,0,0,0,0,0,,,1,0,0,0,,,0,jeff-johnson-1
105820,Jeff Johnson,JR,2001-02,G,Wagner,NEC,9,,0,5,0,2,0,3,0,0,,,0,1,1,0,,,0,jeff-johnson-2
105821,Jeff Johnson,FR,2004-05,G,Oklahoma State,Big 12,6,,0,4,0,2,0,2,0,0,,,1,1,0,0,,,0,jeff-johnson-1
105822,Jeffery Johnson,SR,2014-15,G,Mississippi State,SEC,6,12,0,1,0,1,0,0,0,0,1,1,2,0,2,0,1,1,0,jeffery-johnson-1
105823,Jerrod Johnson,FR,2006-07,F,Texas A&M,Big 12,3,,0,0,0,0,0,0,0,0,,,0,1,0,0,,,0,jerrod-johnson-1
105824,Jesse Johnson,JR,2015-16,F,Alabama A&M,SWAC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,jesse-johnson-1
105825,Jonathan Johnson,FR,2008-09,F,Texas A&M-Corpus Christi,Southland,5,,0,0,0,0,0,0,0,0,,,1,0,0,0,0,,0,jonathan-johnson-1
105826,Julien Johnson,JR,2013-14,F,North Carolina A&T,MEAC,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,julien-johnson-1
105827,Justin Johnson,SO,2007-08,G,UC-Irvine,Big West,2,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,justin-johnson-4
105828,Kevin Johnson,SR,1994-95,F,New Orleans,Sun Belt,1,,0,2,0,2,0,0,0,0,,,1,0,0,0,,,0,kevin-johnson-7
105829,Larry Johnson,SR,2000-01,,Niagara,MAAC,9,,0,3,0,2,0,1,0,6,,,7,0,1,0,,,0,larry-johnson-2
105830,Lewis Johnson,SO,1994-95,G,Texas Southern,SWAC,1,,0,3,0,2,0,1,0,2,,,3,0,0,0,,,0,lewis-johnson-1
105831,Marco Johnson,FR,2005-06,G,Siena,MAAC,1,,0,0,0,0,0,0,0,0,,,2,0,0,0,,,0,marco-johnson-1
105832,Marcus Johnson,SR,2013-14,G,Mississippi Valley State,SWAC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,marcus-johnson-9
105833,Mark Johnson,SO,2002-03,G,Indiana,Big Ten,6,,0,3,0,1,0,2,0,0,,,2,0,0,0,,,0,mark-johnson-1
105834,Nate Johnson,FR,2015-16,G,Robert Morris,NEC,4,9,0,5,0,2,0,3,0,0,0,2,2,1,0,0,1,1,0,nate-johnson-5
105835,Nate Johnson,FR,2016-17,G,Gardner-Webb,Big South,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,nate-johnson-6
105836,Patrick Johnson,JR,2011-12,G,North Carolina State,ACC,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,patrick-johnson-3
105837,Richard Johnson,SO,1995-96,G,Arizona State,Pac-10,3,,,1,,1,0,0,,,,,1,0,0,0,,,0,richard-johnson-2
105838,Ryan Johnson,JR,2006-07,G,Hofstra,CAA,3,,0,1,0,1,0,0,0,0,,,1,0,0,0,,,0,ryan-johnson-4
105839,Ryan Johnson,FR,1999-00,G,Memphis,CUSA,4,,0,1,0,1,0,0,0,0,,,0,0,0,0,,,0,ryan-johnson-2
105840,Steve Johnson,FR,2006-07,F,Duke,ACC,3,,0,0,0,0,0,0,0,0,,,0,0,0,1,,,0,steve-johnson-1
105841,Stevie Johnson,SO,1993-94,F,University of California,Pac-10,2,,0,5,0,5,0,0,0,0,,,7,1,1,1,,,0,stevie-johnson-2
105842,T Johnson,,1994-95,,Miami (FL),Big East,2,,0,0,0,0,0,0,0,0,,,0,0,1,0,,,0,t-johnson-5
105843,Taylor Johnson,FR,2013-14,G,Central Arkansas,Southland,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,taylor-johnson-1
105844,Tim Johnson,FR,2007-08,F,Arkansas-Pine Bluff,SWAC,5,,0,4,0,4,0,0,0,0,,,4,3,0,0,4,,0,tim-johnson-1
105845,Torry Johnson,SO,2016-17,G,Northern Arizona,Big Sky,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,torry-johnson-1
105846,Blake Johnston,FR,2000-01,G,Oklahoma,Big 12,1,,0,2,0,0,0,2,0,0,,,2,1,1,0,,,0,blake-johnston-1
105847,Christian Johnston,SO,2013-14,G,Duquesne,A-10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,christian-johnston-1
105848,Christian Johnston,FR,2012-13,G,Duquesne,A-10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,christian-johnston-1
105849,Clifford Johnston,JR,1999-00,G,Texas-El Paso,WAC,5,,0,2,0,2,0,0,0,0,,,0,0,0,0,,,0,clifford-johnston-1
105850,John Johnston,JR,1994-95,G,Alabama State,SWAC,4,,0,6,0,0,0,6,0,0,,,1,2,1,0,,,0,
105851,John Johnston,FR,2005-06,G,Texas A&M,Big 12,1,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,john-johnston-1
105852,Ray Johnston,SO,1998-99,G,Alabama,SEC,2,,0,1,0,0,0,1,0,0,,,0,0,0,0,,,0,ray-johnston-1
105853,Dau Jok,SO,2007-08,G,Oklahoma,Big 12,6,,0,0,0,0,0,0,0,0,,,0,0,0,0,1,,0,dau-jok-1
105854,Alvin Jones,FR,2013-14,G,Texas-El Paso,CUSA,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,alvin-jones-2
105855,Anthony Jones,FR,1998-99,G,Saint Mary's (CA),WCC,14,,0,4,0,4,0,0,0,0,,,1,2,1,0,,,0,anthony-jones-6
105856,Bernard Jones,SR,1995-96,F,Saint Joseph's,A-10,1,,,3,,3,0,0,,,,,2,0,0,0,,,0,bernard-jones-1
105857,Carl Jones,SO,2001-02,C,Northwestern State,Southland,2,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,carl-jones-1
105858,Christian Jones,SO,2013-14,F,St. John's (NY),Big East,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,christian-jones-1
105859,Claude Jones,SO,1992-93,G,Santa Clara,WCC,5,,0,1,0,1,0,0,,,,,3,1,1,0,,,0,claude-jones-1
105860,D'Angelo Jones,SO,1998-99,G,Arizona State,Pac-10,3,,0,1,0,1,0,0,0,0,,,1,0,0,0,,,0,dangelo-jones-1
105861,Daniel Jones,SR,2013-14,C,Oregon State,Pac-12,3,3,0,1,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,daniel-jones-1
105862,Derek Jones,FR,2006-07,,Savannah State,Ind,7,,0,0,0,0,0,0,0,0,,,2,0,0,0,,,0,derek-jones-1
105863,Dominic Jones,FR,2005-06,G,Liberty,Big South,7,,0,2,0,1,0,1,0,0,,,4,2,2,0,,,0,dominic-jones-1
105864,Garrett Jones,SO,2012-13,G,New Hampshire,AEC,1,12,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,garrett-jones-1
105865,Grant Jones,FR,2012-13,G,Idaho State,Big Sky,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,grant-jones-1
105866,Heath Jones,FR,2000-01,C,Princeton,Ivy,3,,0,0,0,0,0,0,0,0,,,1,0,0,0,,,0,heath-jones-1
105867,J.R. Jones,SO,2000-01,G,Texas Christian,WAC,6,,0,3,0,2,0,1,0,0,,,1,0,0,0,,,0,jr-jones-1
105868,Jeff Jones,SO,1995-96,G,Youngstown State,Mid-Cont,1,,,,,,0,0,,,,,0,0,0,0,,,0,jeff-jones-6
105869,Jeff Jones,JR,2015-16,F,Virginia,ACC,12,18,0,4,0,0,0,4,0,0,0,0,0,1,0,0,2,4,0,jeff-jones-5
105870,Jeremy Jones,FR,2005-06,,DePaul,Big East,3,,0,1,0,0,0,1,0,0,,,0,1,0,0,,,0,jeremy-jones-1
105871,Jermaine Jones,FR,1994-95,G,Northwestern State,Southland,1,,0,1,0,1,0,0,0,0,,,1,0,0,0,,,0,jermaine-jones-1
105872,Keith Jones,FR,2003-04,G,Georgia Tech,ACC,1,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,keith-jones-1
105873,Kenyatta Jones,SO,1998-99,F,South Florida,CUSA,3,,0,2,0,2,0,0,0,0,,,2,1,0,0,,,0,kenyatta-jones-1
105874,Kevin Jones,SR,2009-10,G,Mount St. Mary's,NEC,10,12,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,kevin-jones-3
105875,Kevin Jones,FR,2003-04,G,Bradley,MVC,1,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,kevin-jones-1
105876,Kevin Jones,SO,2004-05,G,Bradley,MVC,8,,0,1,0,0,0,1,0,2,,,0,1,0,0,,,0,kevin-jones-1
105877,Kregg Jones,SO,2011-12,F,Cal State Bakersfield,Ind,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,kregg-jones-1
105878,Kyle Jones,FR,2008-09,G,Arkansas-Pine Bluff,SWAC,1,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,kyle-jones-1
105879,Lacy Jones,SR,1994-95,G,Central Michigan,MAC,2,,0,1,0,1,0,0,0,0,,,2,3,1,0,,,0,lacy-jones-1
105880,Lemuel Jones,SR,1996-97,G,Northwestern State,Southland,7,,0,4,0,4,0,0,0,0,,,2,1,0,0,,,0,lemuel-jones-1
105881,Maurice Jones,JR,1997-98,G,Arkansas-Little Rock,Sun Belt,13,,0,12,0,12,0,0,0,2,,,13,4,1,0,,,0,maurice-jones-1
105882,Mike Jones,JR,2003-04,G,Massachusetts,A-10,2,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,mike-jones-6
105883,Phil Jones,SO,2001-02,,Buffalo,MAC,2,,0,1,0,1,0,0,0,0,,,0,0,0,0,,,0,phil-jones-1
105884,Phillip Jones,SO,2009-10,G,Louisiana-Lafayette,Sun Belt,2,3,0,2,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,phillip-jones-1
105885,Phillip Jones,FR,2008-09,G,Louisiana-Lafayette,Sun Belt,1,,0,2,0,0,0,2,0,0,,,1,0,0,0,1,,0,phillip-jones-1
105886,Scotty Jones,JR,2001-02,C,Vermont,AEC,3,,0,2,0,2,0,0,0,2,,,4,0,0,0,,,0,scotty-jones-2
105887,Skylar Jones,JR,2012-13,G,Niagara,MAAC,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,skylar-jones-1
105888,Steve Jones,JR,2007-08,G,Arizona State,Pac-10,7,,0,2,0,0,0,2,0,0,,,1,1,0,0,0,,0,steve-jones-1
105889,Tom Jonke,SR,2009-10,G,Virginia,ACC,6,12,0,1,0,0,0,1,0,0,0,2,2,0,1,0,2,0,0,tom-jonke-1
105890,Shaun Joplin,SR,2013-14,F,Bowling Green State,MAC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,shaun-joplin-1
105891,Bobby Jordan,JR,2007-08,G,Drexel,CAA,1,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,bobby-jordan-1
105892,Bobby Jordan,SR,2008-09,G,Drexel,CAA,2,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,bobby-jordan-1
105893,Brandon Jordan,SR,2016-17,F,Savannah State,MEAC,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,brandon-jordan-1
105894,Cameron Jordan,FR,2007-08,,Tennessee State,OVC,1,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,cameron-jordan-1
105895,Michael Jordan,FR,1997-98,F,Detroit Mercy,MW Coll,7,,0,1,0,0,0,1,0,0,,,4,2,1,0,,,0,michael-jordan-4
105896,Nick Jordan,SR,2011-12,G,Central Michigan,MAC,12,23,0,4,0,1,0,3,0,2,2,1,3,0,1,0,0,4,0,nick-jordan-1
105897,Nick Jordan,SO,2009-10,G,Central Michigan,MAC,12,14,0,2,0,0,0,2,0,0,0,1,1,1,0,0,1,0,0,nick-jordan-1
105898,Nick Jordan,FR,2008-09,G,Central Michigan,MAC,2,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,nick-jordan-1
105899,Peter Jordan,FR,2007-08,,UC-Santa Barbara,Big West,2,,0,1,0,1,0,0,0,0,,,1,0,0,1,1,,0,peter-jordan-1
105900,Raphael Jordan,SR,2012-13,G,Bryant,NEC,5,12,0,1,0,0,0,1,0,2,0,0,0,0,0,0,2,1,0,raphael-jordan-1
